SNo,State Name,District Name,ADDL,Person Name,Mobile,Contact No,Fax No,EMail,Address
1,CHANDIGARH,,CHANDIGARH,CHANDIGARH,,,,,CHANDIGARH
2,GOA,,DISEASE INVESTIGATION UNIT,Dr. U. V. T. Pedneka,9890719759,83224629,83224629,,"DISEASE INVESTIGATION UNIT, Directorate of Animal"
3,GUJARAT,,Poultry Disease Investigation Lab,Dr.M.G.Prajapati,2637258212,2637258212,2637258212,nic@nic.in,Poultry Disease Investigation Office Veterinary Ho
4,HARYANA,,District Disease Diagnostic Lab. Deptt of Animal,Dr Rupesh Yadav,1274225936,1274225936,1274225936,rupesh.yadav@gmail.com,"DDDL, Govt. Veterinary. Hospital Deptt of Animal H"
5,HARYANA,,HARYANA,HARYANA,,,,,HARYANA
6,GUJARAT,,ADIO Ahmedabad,Dr.G.R.Patel,9824035316,7926304423,7926304423,amit_kanani@hotmail.com,"Polytechnic Campus-Ambavadi, A'bad"
7,GUJARAT,,ADIO Amreli,Dr.R.B.Narodia,9426243048,9426243048,9426243048,,"Office of Additional Diectorate of A.H., Pashudava"
8,KERALA,,"Chief Disease Investigation Office, Palode",Dr. H. Viswanathan,,4722840252,,cdiopalode@yahoo.co.in,"Chief Disease Investigation Office, Pacha P.O, Pal"
9,KERALA,,"Chief Disease Investigation Office, Palode, TVM",Dr. H. Viswanathan,9745482709,4722840252,4722840252,cdiopalode@yahoo.com,"Chief Disease Investigation office, palode, pacha"
10,MADHYA PRADESH,,Animal Disease Research Laboratory Khargone,"Dr. HC Patel, AVFO",9826321590,7282221590,7282221590,,"Office of Asst. Director, Veterinary Services, San"
11,MADHYA PRADESH,,District Animal Disease Diagnostic Lab. Khandwa (M,Dr. R. V. Telang,,7332223901,7332223901,,"C/O Deputy Director Animal Husbandry Department,"
12,MADHYA PRADESH,,District Animal Disease Investigation Laboratory,Dr. A.K. Sharma,7141234311,7141234311,7141234311,nic@nic.in,"veterinary Assistant Surgeon, District Disease Inv"
13,MADHYA PRADESH,,"HSADL,Bhopal",Dr.Nagarajan,,,,,"Bhopal,Madhaya Pradesh,India"
14,KERALA,,"Regional Disease Diagnostic Laboratory, Palode, TV",Dr. H. Viswanathan,9745482709,4722840252,4722840252,cdiopalode@yahoo.com,"Chief Disease Investigation office, palode, pacha"
15,MANIPUR,,MANIPUR,MANIPUR,,,,,MANIPUR
16,NCT OF DELHI,,DELHI,DELHI,,,,,DELHI
