Species_Name,Disease_Name,DiseaseSymptoms
Bees,Abortions,"When food sources run low, such as during a summer nectar dearth, the workers in a honey bee hive will often expel both drones and drone pupae. Since drones eat plenty of food but don’t collect any, it is a way for the colony to conserve stores for the winter. Later on, in the fall, nearly all the drones will be removed from the hive. In warmer climates a few may be allowed to remain throughout the winter, but in cold latitudes every last drone will be discarded."
Bees,Toxic Case,"Bees can suffer serious effects from toxic chemicals in their environments. These include various synthetic chemicals, particularly insecticides, as well as a variety of naturally occurring chemicals from plants, such as ethanol resulting from the fermentation of organic materials. Bee intoxication can result from exposure to ethanol from fermented nectar, ripe fruits, and manmade and natural chemicals in the environment."
Birds,Aflatoxicosis,"Retarted growth, Anorexia, Ruffled feathers, Anaemia, Ascites, Ataxia"
Birds,Avian Chlamydiosis,"Avian chlamydiosis is a systemic, bacterial infection caused by Chlamydia psittaci. Among poultry, turkeys and ducks are more susceptible than chickens. The disease varies from asymptomatic to high morbidity and mortality. Clinical signs are nonspecific and include anorexia, apathy, drop in egg production, diarrhea, ocular discharge, and respiratory disease. Diagnosis is achieved using serology, culture, and/or PCR. Treatment is with antibiotics such as tetracyclines. It is a zoonosis referred to as psittacosis, parrot fever, or ornithosis, which can cause serious health problems in humans (eg, pneumonia)."
Birds,Avian Infectious Bronchitis,
Birds,Avian Infectious Laryngotracheitis,
Birds,Avian Influenza (Bird Flu),"lack of coordination purple discoloration of the wattles, combs and legs, soft-shelled or misshapen eggs, lack of energy and appetite, swelling of the head, eyelids comb, wattles and hocks, Nasal Discharge, Coughing, Sneezing, decreased egg production, Diarrhea"
Birds,Avian Mycoplasmosis (M. Gallisepticum),
Birds,Avian Mycoplasmosis (M. Synoviae),
Birds,Botulism,"Progressive muscle weakness, Paralysis affecting limbs head & neck incoordination, Inability to rise & lifthed, Chew & drooling of saliva"
Birds,Coccidiosis,
Birds,Duck Cholera,"loss of appetite, catarrhal discharge from nostril, Drooling of saliva, Greenish diarrhoea, bluish comb & wattle with oedema"
