year,month,day,hour,minute,second,moisture0,moisture1,moisture2,moisture3,moisture4,irrgation
2020,3,11,14,44,39,0.59,0.63,0.51,0.45,0.01,false
2020,3,11,14,47,9,0.56,0.60,0.52,0.48,0.01,false
2020,3,11,14,49,39,0.56,0.54,0.54,0.51,0.01,false
2020,3,11,14,52,9,0.56,0.50,0.57,0.51,0.01,false
2020,3,11,14,54,39,0.57,0.53,0.58,0.51,0.01,false
2020,3,11,14,57,9,0.56,0.45,0.58,0.51,0.01,false
2020,3,11,14,59,40,0.56,0.46,0.58,0.51,0.01,false
2020,3,11,15,2,10,0.56,0.43,0.58,0.51,0.01,false
2020,3,11,15,4,40,0.56,0.44,0.59,0.50,0.01,false
2020,3,11,15,7,10,0.53,0.43,0.58,0.50,0.01,false
2020,3,11,15,9,40,0.54,0.44,0.57,0.50,0.01,false
2020,3,11,15,12,10,0.51,0.42,0.57,0.50,0.01,false
2020,3,11,15,14,41,0.53,0.48,0.54,0.47,0.01,false
2020,3,11,15,17,11,0.51,0.49,0.55,0.47,0.01,false
2020,3,11,15,19,41,0.78,0.49,0.54,0.46,0.01,false
2020,3,11,15,22,11,0.83,0.65,0.58,0.49,0.01,false
2020,3,11,15,24,41,0.83,0.66,0.56,0.50,0.01,false
2020,3,11,15,27,11,0.84,0.68,0.56,0.50,0.01,false
2020,3,11,15,29,42,0.84,0.67,0.57,0.50,0.00,false
2020,3,11,15,32,12,0.84,0.67,0.56,0.50,0.01,false
2020,3,11,15,34,42,0.84,0.67,0.55,0.50,0.01,false
2020,3,11,15,37,12,0.84,0.70,0.56,0.48,0.01,false
2020,3,11,15,39,42,0.83,0.68,0.55,0.48,0.01,false
2020,3,11,15,42,12,0.84,0.70,0.56,0.48,0.01,false
2020,3,11,15,44,42,0.84,0.71,0.55,0.48,0.01,false
2020,3,11,15,47,13,0.85,0.72,0.56,0.48,0.00,false
2020,3,11,15,49,43,0.84,0.72,0.55,0.48,0.00,false
2020,3,11,15,52,13,0.85,0.73,0.56,0.48,0.01,false
2020,3,11,15,54,43,0.85,0.73,0.57,0.50,0.01,false
2020,3,11,15,57,13,0.85,0.73,0.56,0.50,0.01,false
2020,3,11,15,59,43,0.85,0.73,0.57,0.49,0.01,false
2020,3,11,16,2,14,0.84,0.72,0.55,0.47,0.01,false
2020,3,11,16,4,44,0.85,0.73,0.57,0.48,0.00,false
2020,3,11,16,7,14,0.84,0.74,0.57,0.48,0.01,false
2020,3,11,16,9,44,0.85,0.74,0.57,0.48,0.00,false
2020,3,11,16,12,14,0.85,0.75,0.57,0.48,0.00,false
2020,3,11,16,14,44,0.85,0.74,0.58,0.48,0.00,false
2020,3,11,16,17,15,0.85,0.73,0.56,0.47,0.01,false
2020,3,11,16,19,45,0.84,0.73,0.56,0.47,0.01,false
2020,3,11,16,22,15,0.84,0.73,0.58,0.46,0.00,false
2020,3,11,16,24,45,0.84,0.73,0.56,0.46,0.01,false
2020,3,11,16,27,15,0.84,0.73,0.56,0.45,0.01,false
2020,3,11,16,29,45,0.84,0.73,0.56,0.45,0.00,false
2020,3,11,16,32,15,0.84,0.73,0.56,0.45,0.00,false
2020,3,11,16,34,46,0.84,0.73,0.56,0.45,0.01,false
2020,3,11,16,37,16,0.84,0.73,0.56,0.45,0.01,false
2020,3,11,16,39,46,0.84,0.74,0.55,0.46,0.01,false
2020,3,11,16,42,16,0.85,0.74,0.58,0.46,0.00,false
2020,3,11,16,44,46,0.85,0.74,0.58,0.47,0.01,false
2020,3,11,16,47,16,0.85,0.75,0.58,0.46,0.01,false
2020,3,11,16,49,47,0.85,0.74,0.56,0.46,0.00,false
2020,3,11,16,52,17,0.84,0.74,0.59,0.45,0.00,false
2020,3,11,16,54,47,0.85,0.74,0.58,0.45,0.01,false
2020,3,11,16,57,17,0.85,0.75,0.56,0.45,0.00,false
2020,3,11,16,59,47,0.84,0.74,0.57,0.45,0.00,false
2020,3,11,17,2,17,0.85,0.74,0.56,0.45,0.01,false
2020,3,11,17,4,47,0.85,0.75,0.57,0.45,0.01,false
2020,3,11,17,7,18,0.85,0.75,0.57,0.45,0.00,false
2020,3,11,17,9,48,0.84,0.75,0.60,0.45,0.00,false
2020,3,11,17,12,18,0.84,0.75,0.60,0.45,0.00,false
2020,3,11,17,14,48,0.84,0.74,0.57,0.45,0.01,false
2020,3,11,17,17,18,0.84,0.75,0.56,0.45,0.00,false
2020,3,11,17,19,48,0.85,0.75,0.57,0.45,0.00,false
2020,3,11,17,22,19,0.85,0.75,0.58,0.46,0.00,false
2020,3,11,17,24,49,0.85,0.75,0.59,0.46,0.00,false
2020,3,11,17,27,19,0.85,0.75,0.58,0.46,0.00,false
2020,3,11,17,29,49,0.85,0.75,0.57,0.46,0.00,false
2020,3,11,17,32,19,0.85,0.75,0.56,0.46,0.01,false
2020,3,11,17,34,49,0.85,0.75,0.56,0.46,0.00,false
2020,3,11,17,37,20,0.85,0.75,0.57,0.46,0.00,false
2020,3,11,17,39,50,0.85,0.75,0.58,0.46,0.01,false
2020,3,11,17,42,20,0.84,0.75,0.60,0.46,0.01,false
2020,3,11,17,44,50,0.85,0.75,0.60,0.48,0.01,false
2020,3,11,17,47,20,0.84,0.75,0.59,0.47,0.00,false
2020,3,11,17,49,50,0.85,0.76,0.59,0.47,0.00,false
2020,3,11,17,52,20,0.84,0.75,0.63,0.46,0.00,false
2020,3,11,17,54,51,0.84,0.75,0.60,0.47,0.00,false
2020,3,11,17,57,21,0.84,0.76,0.59,0.46,0.00,false
2020,3,11,17,59,51,0.84,0.76,0.60,0.45,0.01,false
2020,3,11,18,2,21,0.84,0.76,0.60,0.45,0.00,false
2020,3,11,18,4,51,0.84,0.76,0.58,0.45,0.00,false
2020,3,11,18,7,21,0.83,0.76,0.63,0.44,0.00,false
