State Name,District Name,Block Name,Centre Name,Address,Centre Type
Andaman & Nicobar Islands,KOLLAM,VETTIKKAVALA,panavely,panavely p.o,
Andaman & Nicobar Islands,NICOBARS,CAR NICOBAR,"Tamaloo, VH",Tamaloo,District Vererinary Polyclinic Nandurbar
Andaman & Nicobar Islands,NICOBARS,CAR NICOBAR,Car Nicobar,,
Andaman & Nicobar Islands,NICOBARS,NANCOWRY,"Katchal, VD",,Veterinary Dispensary
Andaman & Nicobar Islands,NICOBARS,NANCOWRY,"Kamorta, VD",Kamorta,Veterinary Dispensary
Andaman & Nicobar Islands,NICOBARS,NANCOWRY,"Teressa, VD","Veterinary Dispensary, Teressa, Nancowry",Veterinary Dispensary
Andaman & Nicobar Islands,NICOBARS,CAMPBELL BAY,"Campbell Bay, VH",,District Vererinary Polyclinic Nandurbar
Andaman & Nicobar Islands,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,"Diglipur, VH","VH, Diglipur under Sitanagar Village, N&M Andaman, Diglipur",Veterinary Dispensary
Andaman & Nicobar Islands,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,"Kalighat, VD","VD Kalighat, N&M Andaman, Diglipur",Veterinary Dispensary
Andaman & Nicobar Islands,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,Sitanagar VSD,Sitanagar,Govt Veterinary Dispensary
Andaman & Nicobar Islands,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,"Billyground, VD",,Veterinary Dispensary
Andaman & Nicobar Islands,NORTH AND MIDDLE ANDAMAN,RANGAT,"Kadamtala, VD",Kadamtala,Govt Veterinary Dispensary
Andaman & Nicobar Islands,NORTH AND MIDDLE ANDAMAN,RANGAT,"Rangat, VH",Rangat,test AI center
Andaman & Nicobar Islands,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,Webi VH,Webi,Govt Veterinary Hospital
Andaman & Nicobar Islands,SOUTH ANDAMANS,LITTLE ANDAMAN,"Ramakrishnapur, VH",,District Vererinary Polyclinic Nandurbar
Andaman & Nicobar Islands,SOUTH ANDAMANS,PROTHRAPUR,"Neil Island, VD",,Veterinary Dispensary
Andaman & Nicobar Islands,SOUTH ANDAMANS,PROTHRAPUR,Rangachang VD,Rangachang,Veterinary Dispensary
Andaman & Nicobar Islands,SOUTH ANDAMANS,PROTHRAPUR,"Polyclinic, VD",Polyclinic Dollygunj,District Vererinary Polyclinic Nandurbar
Andaman & Nicobar Islands,SOUTH ANDAMANS,PROTHRAPUR,"Junglighat, VH","Junglighat, Port Blair",District Vererinary Polyclinic Nandurbar
Andaman & Nicobar Islands,SOUTH ANDAMANS,PROTHRAPUR,"Havelock, VD",,Veterinary Dispensary
Andaman & Nicobar Islands,SOUTH ANDAMANS,PROTHRAPUR,"Garacharma, VH",,District Vererinary Polyclinic Nandurbar
Andaman & Nicobar Islands,SOUTH ANDAMANS,FERRARGUNJ,"Elephant Point, VD","Elephant Point, Namunaghat (RV)",Veterinary Dispensary
Andaman & Nicobar Islands,SOUTH ANDAMANS,FERRARGUNJ,"Port Mout, VD",Port Mout school bus stand,Veterinary Dispensary
Andaman & Nicobar Islands,SOUTH ANDAMANS,FERRARGUNJ,"Manglutan, VD",,Veterinary Dispensary
Andaman & Nicobar Islands,SOUTH ANDAMANS,FERRARGUNJ,"Wimberligunj, VH",Veterinary Hospital wimberlygunj,District Vererinary Polyclinic Nandurbar
Andhra Pradesh,ALIRAJPUR,ALIRAJPUR,A.I. Sub Centre Kotbu,,
Andhra Pradesh,ANANTAPUR,ANANTAPUR,Anantapur,,
Andhra Pradesh,ANANTAPUR,ANANTAPUR,VD Kandukuru,,
Andhra Pradesh,ANANTAPUR,ATMAKUR,Atmakur,,
Andhra Pradesh,ANANTAPUR,BRAHMASAMUDRAM,Brahmasamudram,,
Andhra Pradesh,ANANTAPUR,BUKKAPATNAM,Bukkapatnam,,
